symbol,settlement_date,short_shares,previous_short_shares,avg_daily_volume,days_to_cover,change_percent
LDOS,2025-04-30,3610643,4302671,1206332,2.99,-16.08
LDOS,2025-04-15,4302671,5264931,1991733,2.16,-18.28
LDOS,2021-12-31,1616932,1206870,875573,1.85,33.98
LDOS,2021-12-15,1206870,1113557,855377,1.41,8.38
LDOS,2025-03-31,5264931,5997580,1667813,3.16,-12.22
LDOS,2021-06-15,1352264,1637979,498351,2.71,-17.44
LDOS,2025-03-14,5997580,5860901,1674082,3.58,2.33
LDOS,2021-10-29,1759417,2110102,524804,3.35,-16.62
LDOS,2023-01-31,1900911,1855756,902957,2.11,2.43
LDOS,2022-12-30,1879724,1469888,723993,2.6,27.88
LDOS,2021-07-15,1257747,1204726,587232,2.14,4.4
LDOS,2021-07-30,1399577,1257747,560483,2.5,11.28
LDOS,2021-10-15,2110102,2548165,667010,3.16,-17.19
LDOS,2021-06-30,1204726,1352264,751500,1.6,-10.91
LDOS,2021-05-28,1640354,1783702,438522,3.74,-8.04
LDOS,2023-01-13,1855756,1879724,860242,2.16,-1.28
LDOS,2021-08-31,2071523,1642617,633068,3.27,26.11
LDOS,2021-09-30,2548165,2679996,967065,2.63,-4.92
LDOS,2021-08-13,1642617,1399577,1061167,1.55,17.37
LDOS,2025-02-14,3370154,3285377,1726404,1.95,2.58
LDOS,2025-02-28,5860901,3370154,1863369,3.15,73.91
LDOS,2023-02-15,1621525,1900911,880750,1.84,-14.7
LDOS,2021-09-15,2679996,2071523,778038,3.44,29.37
LDOS,2021-05-14,1783702,1831983,708413,2.52,-2.64
LDOS,2025-01-31,3285377,3057847,1461813,2.25,7.44
LDOS,2023-02-28,1420866,1621525,1041937,1.36,-12.37
LDOS,2023-03-31,1880101,1841247,1029060,1.83,2.11
LDOS,2023-03-15,1841247,1420866,867931,2.12,29.59
LDOS,2024-11-29,2593001,1913841,1689345,1.53,35.49
LDOS,2023-04-14,1836291,1880101,751886,2.44,-2.33
LDOS,2025-01-15,3057847,3059910,1148446,2.66,-0.07
